file_a,file_b,cochange_count,window_start,window_end
log4j-core/src/main/java/org/apache/logging/log4j/core/net/SslSocketManager.java,log4j-core/src/main/java/org/apache/logging/log4j/core/net/ssl/SslConfiguration.java,2,2025-04-12,2026-04-12
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/FileManager.java,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/RollingFileManager.java,2,2025-04-12,2026-04-12
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/FileManager.java,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/RollingRandomAccessFileManager.java,2,2025-04-12,2026-04-12
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/HttpURLConnectionManager.java,log4j-core/src/main/java/org/apache/logging/log4j/core/net/SmtpManager.java,2,2025-04-12,2026-04-12
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/HttpURLConnectionManager.java,log4j-core/src/main/java/org/apache/logging/log4j/core/net/UrlConnectionFactory.java,2,2025-04-12,2026-04-12
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/DefaultRolloverStrategy.java,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/DirectWriteRolloverStrategy.java,2,2025-04-12,2026-04-12
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/DefaultRolloverStrategy.java,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/TimeBasedTriggeringPolicy.java,2,2025-04-12,2026-04-12
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/DefaultRolloverStrategy.java,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/PosixViewAttributeAction.java,2,2025-04-12,2026-04-12
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/DefaultRolloverStrategy.java,log4j-core/src/main/java/org/apache/logging/log4j/core/layout/GelfLayout.java,2,2025-04-12,2026-04-12
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/DefaultRolloverStrategy.java,log4j-core/src/main/java/org/apache/logging/log4j/core/layout/HtmlLayout.java,2,2025-04-12,2026-04-12
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/DirectWriteRolloverStrategy.java,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/TimeBasedTriggeringPolicy.java,2,2025-04-12,2026-04-12
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/DirectWriteRolloverStrategy.java,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/action/PosixViewAttributeAction.java,2,2025-04-12,2026-04-12
log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/DirectWriteRolloverStrategy.java,log4j-core/src/main/java/org/apache/logging/log4j/core/layout/GelfLayout.java,2,2025-04-12,2026-04-12
